Country,Region,TotalPop,DeprivedPop,PctDeprived,ValidCities
afghanistan,Asia,11517774.09,1506350.281,13.07848434,20
algeria,Africa,19325879.3,526860.9829,2.726194108,92
angola,Africa,20650829.65,9490744.786,45.95817673,41
argentina,Latin America and the Caribbean,28393328.56,3104852.146,10.93514675,69
bangladesh,Asia,68542720.23,17573729.43,25.63908956,75
belize,Latin America and the Caribbean,73861.04662,35848.04761,48.53444305,1
benin,Africa,4673285.747,398578.9923,8.52888126,19
bolivia,Latin America and the Caribbean,6537425.852,1690731.534,25.86234356,12
botswana,Africa,549454.0024,23446.04859,4.267154028,7
brazil,Latin America and the Caribbean,117923299.9,16063608.07,13.62208154,346
burkina faso,Africa,5103500.92,3014083.118,59.05912755,16
burundi,Africa,1714038.352,624197.8623,36.41679671,6
cambodia,Asia,3038960.599,184597.0035,6.074346721,8
cameroon,Africa,15198621.01,4300646.213,28.29629221,40
central african republic,Africa,1601841.314,989593.6314,61.77850596,6
chad,Africa,3661678.153,619282.6563,16.91253656,13
colombia,Latin America and the Caribbean,31595900.4,4305851.726,13.62788106,79
comoros,Africa,394719.2349,156892.555,39.74788687,2
congo republic,Africa,4109466.966,2402355.444,58.45905233,8
costa rica,Latin America and the Caribbean,2459982.885,42776.43122,1.738891416,3
cote d'ivoire,Africa,10639014.76,2345349.918,22.04480369,34
cuba,Latin America and the Caribbean,5020385.892,1758302.902,35.02326195,19
djibouti,Africa,420632.2701,166737.7908,39.63980005,1
dominican republic,Latin America and the Caribbean,7141880.433,1841863.129,25.78961026,16
dr congo,Africa,43591738.81,18324953.3,42.03767458,100
ecuador,Latin America and the Caribbean,9479243.377,1558810.054,16.44445651,28
egypt,Africa,76177735.75,18646879.1,24.47812201,181
el salvador,Latin America and the Caribbean,2720089.421,621174.8043,22.83655822,9
equatorial guinea,Africa,1182009.97,241243.3955,20.40959059,2
eritrea,Africa,253661.6794,47789.15132,18.83972046,1
eswatini,Africa,97219.9683,1815.162542,1.867067614,2
ethiopia,Africa,14999047.87,5186117.372,34.57631057,45
gabon,Africa,745404.3794,73910.7837,9.915528503,2
gambia,Africa,1446656.488,27782.57162,1.920467771,4
ghana,Africa,15943320.2,1518667.515,9.525415635,43
guatemala,Latin America and the Caribbean,5432686.623,1754718.515,32.29927725,33
guinea,Africa,5008076.958,1119291.325,22.34972296,17
guinea-bissau,Africa,780204.4501,664.085087,0.085116803,3
haiti,Latin America and the Caribbean,3887370.601,2681299.84,68.97463902,16
honduras,Latin America and the Caribbean,4085724.278,1320056.131,32.30898713,13
india,Asia,479716870.1,65737453.24,13.70338575,1287
indonesia,Asia,146689278.7,11630127.98,7.928410367,296
iran,Asia,43626823.92,416338.838,0.954318469,173
iraq,Asia,28482675.77,1632042.793,5.729948993,59
jamaica,Latin America and the Caribbean,1225485.168,166779.4976,13.60926284,4
jordan,Asia,8037177.558,118533.1116,1.474810165,9
kazakhstan,Asia,8223484.571,0,0,27
kenya,Africa,10892339.03,4411101.836,40.49728735,25
kyrgyz republic,Asia,2312030.531,9531.116949,0.412240099,9
laos,Asia,447890.7809,0,0,4
lebanon,Asia,2578488.614,93730.21666,3.635083598,7
lesotho,Africa,234325.792,2128.876882,0.908511549,1
liberia,Africa,2216567.21,84988.08419,3.834220943,5
libya,Africa,3116865.8,5303.176629,0.170144529,15
madagascar,Africa,3833274.618,2253745.716,58.79426705,5
malawi,Africa,2369040.752,1353082.966,57.11522543,7
malaysia,Asia,16910803.05,30026.1164,0.177555828,36
maldives,Asia,209964.0145,65931.9831,31.40156339,1
mali,Africa,5960716.499,1607600.886,26.96992696,16
mauritania,Africa,1706446.893,502698.1213,29.45876156,3
mauritius,Africa,561324.3734,1277.671872,0.227617387,1
mexico,Latin America and the Caribbean,68977748.92,12232585.78,17.73410408,166
mongolia,Asia,1405983.739,5197.823013,0.369692968,1
morocco,Africa,19620151.61,2356561.122,12.01092208,58
mozambique,Africa,7310755.477,3571108.172,48.84732068,24
myanmar,Asia,17257856.09,571561.403,3.311891118,73
namibia,Africa,405575.7361,240510.6512,59.30104534,1
nepal,Asia,4955132.348,1363467.945,27.51627705,8
nicaragua,Latin America and the Caribbean,2583740.154,817899.28,31.65563219,13
niger,Africa,4622590.486,2531256.932,54.75840742,22
nigeria,Africa,91597687.98,12419246.36,13.55847143,313
north korea,Asia,11692345.02,31498.02183,0.269390116,50
pakistan,Asia,95763115.27,23895488.4,24.95270578,161
palestine,Asia,4967351.786,79345.52925,1.597340649,7
panama,Latin America and the Caribbean,2314617.831,165788.6891,7.162680894,6
paraguay,Latin America and the Caribbean,2259511.831,516044.5075,22.83876103,7
peru,Latin America and the Caribbean,17665898.5,3968528.056,22.46434313,38
philippines,Asia,44384037.77,12472474.65,28.10126179,81
rwanda,Africa,1649343.029,478248.3459,28.99629352,4
senegal,Africa,8346712.434,2484589.811,29.76728659,25
sierra leone,Africa,3190790.415,913219.4627,28.62047781,8
somalia,Africa,8295293.61,5402030.855,65.12163535,15
south africa,Africa,30289706.7,12148012.6,40.10607537,74
south sudan,Africa,984642.9656,569345.036,57.82248549,7
sri lanka,Asia,6980675.91,183882.3048,2.634161895,20
sudan,Africa,15147905.02,8821698.497,58.23708615,46
suriname,Latin America and the Caribbean,236581.255,7842.67913,3.315004449,1
syria,Asia,11559851.17,725297.5329,6.274280888,24
tajikistan,Asia,2655706.375,6971.27449,0.262501704,15
tanzania,Africa,14983633.22,6658691.27,44.4397642,35
thailand,Asia,24775219.46,345027.1062,1.392629868,42
timor-leste,Asia,377929.5449,36231.5459,9.586851938,1
togo,Africa,3367055.13,621007.8887,18.44365075,11
tunisia,Africa,5735516.775,290865.6825,5.071307329,24
turkmenistan,Asia,1975904.087,0,0,10
uganda,Africa,6399543.601,2156964.526,33.7049743,19
uzbekistan,Asia,12282028.82,27921.74183,0.227338188,54
venezuela,Latin America and the Caribbean,18355474.48,2834796.353,15.44387401,72
vietnam,Asia,38804379.47,7634998.668,19.67561078,117
western sahara,Africa,229711.0484,1011.057638,0.440143235,2
yemen,Asia,8137867.438,827844.3382,10.17274298,14
zambia,Africa,7472185.766,1833037.626,24.53147826,25
zimbabwe,Africa,3101648.196,260893.7617,8.411455626,16
